Column,occupation,Picture,country of citizenship,id-wikidata,Nom,Prénom,Label,image
Evliya Çelebi,explorer,Serafimovski - Evliya Çelebi.jpg,Ottoman Empire,Q202308,,,,
Kâtip Çelebi,economist,,Ottoman Empire,Q390123,,,,
Ahmet Cevdet Pasha,historian,Ahmed Cevdet Pasha.jpg,Ottoman Empire,Q401209,,,,
Hezârfen Ahmet Çelebi,physicist,Hezârfen - Adem Başpınar.jpg,Ottoman Empire,Q743810,,,,
Halid Ziya Uşaklıgil,writer,HalitZiya.jpg,Ottoman Empire,Q1366693,,,,
Orhan Veli Kanık,poet,Orhan Veli KANIK.jpg,Turkey,Q982848,,,,
Hayreddin Barbarossa,military officer,"Contemporary Ottoman depiction of Barbarossa (in a reception with Suleiman I). Süleymanname, 1558.jpg",Ottoman Empire,Q200582,,,,
Claude Alexandre de Bonneval,military personnel,Bonneval-pasha.jpg,France,Q701714,,,,
